Name,Symbol,LTP,Change(%),Open,Volume,Market Cap (Cr.),PE Ratio,Industry PE,52W High,52W Low,1M Returns,3M Returns,1 Yr Returns,3 Yr Returns,5 Yr Returns,PB Ratio,Dividend,ROE,ROCE,EPS,50 DMA,200 DMA,RSI,Margin Funding,Margin Pledge
Amber Enterprises,AMBER.NS,"8,327.00",0.51%,"8,282.00","1,68,450","29,119.10",106.55,73.96,"8,497.00","5,035.00",3.06%,9.21%,61.83%,265.60%,319.12%,8.92,-,6.59%,14.95%,47.37,"7,811.22","6,993.76",58.7,69.46%,80.00%
Tata Technologies,TATATECH.NS,700.7,-1.91%,709.2,"5,90,082","28,982.00",41.48,36.46,"1,087.85",597,-1.51%,-2.25%,-33.33%,-46.63%,-46.63%,9.04,1.67%,21.09%,23.64%,16.02,687.95,722.27,51.32,75.00%,80.00%
Aegis Logistics,AEGISLOG.NS,811.1,-0.17%,814.8,"4,61,017","28,518.80",42.91,31.89,"1,037.00",609.85,6.88%,9.93%,20.08%,14.98%,14.98%,6.14,0.99%,15.07%,11.67%,16.66,742.75,771.16,56.91,61.35%,79.36%
Star Health Insurance,STARHEALTH.NS,479.7,0.20%,478,"2,99,880","28,148.10",47.81,52.5,569.4,327.3,8.38%,13.62%,-12.75%,-32.78%,-47.10%,3.99,-,9.40%,-15.32%,14.96,447.64,425.71,67.75,60.00%,80.00%
Krishna Institute of Medical Sciences,KIMS.NS,713.8,1.88%,693.6,"3,90,382","28,033.70",77.39,46.73,798.4,474.05,-5.45%,0.49%,30.92%,143.98%,257.99%,13.34,-,16.05%,13.23%,39.48,734.84,660.01,47.43,65.00%,80.00%
Affle 3i,AFFLE.NS,"1,956.00",-0.58%,"1,960.00","1,26,788","27,669.60",68.63,36.46,"2,185.90","1,246.00",-4.74%,-0.54%,21.50%,65.67%,259.15%,9.29,-,16.73%,16.04%,22.65,"1,979.79","1,751.66",46.33,60.00%,70.00%
Bandhan Bank,BANDHANBNK.NS,168.48,-0.50%,168,"53,37,566","27,277.00",13.21,16.18,210.65,128.16,3.91%,-3.80%,-15.79%,-36.24%,-47.45%,1.11,0.89%,10.32%,7.35%,15.97,165.1,161.49,56.7,59.47%,80.00%
Emcure Pharmaceuticals,EMCURE.NS,"1,370.60",-3.70%,"1,405.20","91,343","26,970.80",34.44,41.06,"1,532.95",889,1.27%,1.14%,-7.60%,0.84%,0.84%,5.84,0.22%,16.90%,20.62%,26.63,"1,387.04","1,243.52",50.8,60.00%,-
TVS Holdings,TVSHLTD.NS,"13,431.00",0.96%,"13,360.00","5,394","26,914.80",21.5,52.5,"14,530.00","7,855.25",1.05%,16.37%,-0.05%,148.96%,148.96%,28.09,0.69%,-,15.27%,-,"12,495.96","10,573.81",62.91,50.00%,70.00%
Sona BLW Precision Forgings,SONACOMS.NS,435.75,0.68%,434,"26,00,084","26,908.10",44.78,47,744.9,380,0.40%,-3.65%,-33.99%,-5.37%,20.64%,4.93,0.73%,18.49%,13.84%,9.41,436.47,488.74,55.17,75.15%,80.00%
Sumitomo Chemical,SUMICHEM.NS,524.25,-0.66%,522.45,"2,07,589","26,342.40",46.97,30.08,665,446.2,-5.11%,-3.36%,-2.83%,3.19%,89.53%,9.02,0.23%,15.13%,22.88%,8.71,572.09,533.23,37.16,60.00%,75.00%
Inventurus Knowledge Solutions,IKS.NS,"1,532.50",0.06%,"1,524.90","83,013","26,278.10",48.56,36.46,"2,189.00","1,236.80",-2.56%,-3.72%,-21.85%,-21.85%,-21.85%,14.7,-,-,27.50%,-,"1,549.11","1,627.22",50.5,65.00%,70.00%
Syngene International,SYNGENE.NS,633.9,-2.67%,650,"6,00,007","26,243.40",50.34,33.36,960.6,599.55,-5.50%,-0.38%,-28.78%,15.30%,15.24%,5.4,0.20%,11.98%,13.20%,11.85,653.48,690.88,46.18,76.00%,80.00%
IRB Infrastructure Developers,IRB.NS,42.73,-1.57%,43.2,"69,54,749","26,215.30",30.95,29.97,61.99,40.51,-1.25%,-10.89%,-27.12%,96.82%,285.30%,1.3,0.70%,5.38%,17.25%,1.01,43.3,47.85,50.63,72.55%,80.00%
J B Chemicals and Pharmaceuticals,JBCHEPHARM.NS,"1,660.20",-0.78%,"1,665.00","1,49,013","26,203.20",38,41.06,"1,984.00","1,385.75",-1.14%,1.36%,-9.33%,71.74%,230.11%,7.58,0.93%,18.90%,24.69%,37.83,"1,704.81","1,685.22",40.8,70.43%,80.00%
Nuvama Wealth Management,NUVAMA.NS,"7,199.50",-0.50%,"7,210.00","1,30,344","26,094.30",25.23,52.5,"8,508.50","4,735.45",12.33%,-2.95%,5.63%,175.58%,175.58%,7.48,-,21.55%,23.65%,203.79,"6,649.72","6,475.91",70.27,50.00%,75.00%
Shyam Metalics & Energy,SHYAMMETL.NS,925.85,-0.62%,915,"1,40,422","26,005.30",27.94,28.24,"1,001.00",628.25,0.32%,8.25%,1.72%,224.35%,146.14%,2.45,0.48%,11.24%,11.83%,39.63,935.72,857.39,49.15,68.34%,80.00%
Dr. Lal Path Labs,LALPATHLAB.NS,"3,223.30",4.08%,"3,100.00","1,73,382","25,943.60",52.63,46.73,"3,540.00","2,293.55",-2.27%,11.24%,-5.76%,36.65%,51.42%,12.43,0.74%,19.22%,27.96%,45.65,"3,254.72","2,895.14",51.53,71.39%,80.00%
